Age group,Year,Case
<15,2012,4
<15,2013,3
<15,2014,5
<15,2015,19
<15,2016,22
<15,2017,38
<15,2018,30
<15,2019,38
<15,2020,32
<15,2021,30
<15,2022,46
15-24,2012,874
15-24,2013,1361
15-24,2014,1663
15-24,2015,2193
15-24,2016,2585
15-24,2017,3429
15-24,2018,3369
15-24,2019,3944
15-24,2020,2238
15-24,2021,3685
15-24,2022,4499
25-34,2012,1725
25-34,2013,2515
25-34,2014,3100
25-34,2015,4048
25-34,2016,4866
25-34,2017,5511
25-34,2018,5692
25-34,2019,6326
25-34,2020,4057
25-34,2021,6259
25-34,2022,7450
35-49,2012,568
35-49,2013,740
35-49,2014,958
35-49,2015,1271
35-49,2016,1487
35-49,2017,1748
35-49,2018,1962
35-49,2019,2054
35-49,2020,1473
35-49,2021,2059
35-49,2022,2575
50 & older,2012,77
50 & older,2013,111
50 & older,2014,136
50 & older,2015,164
50 & older,2016,182
50 & older,2017,263
50 & older,2018,258
50 & older,2019,365
50 & older,2020,234
50 & older,2021,300
50 & older,2022,382
