Region,Year,Case
1,2012,58
1,2013,84
1,2014,116
1,2015,176
1,2016,162
1,2017,250
1,2018,309
1,2019,350
1,2020,215
1,2021,341
1,2022,526
2,2012,20
2,2013,44
2,2014,64
2,2015,93
2,2016,95
2,2017,171
2,2018,197
2,2019,221
2,2020,174
2,2021,206
2,2022,326
3,2012,226
3,2013,344
3,2014,539
3,2015,674
3,2016,822
3,2017,1144
3,2018,1224
3,2019,1406
3,2020,1064
3,2021,1444
3,2022,1802
4A,2012,432
4A,2013,659
4A,2014,844
4A,2015,1245
4A,2016,1412
4A,2017,1811
4A,2018,1863
4A,2019,2117
4A,2020,1370
4A,2021,2304
4A,2022,2799
4B,2012,20
4B,2013,44
4B,2014,64
4B,2015,93
4B,2016,95
4B,2017,171
4B,2018,197
4B,2019,221
4B,2020,174
4B,2021,206
4B,2022,326
5,2012,30
5,2013,55
5,2014,78
5,2015,135
5,2016,123
5,2017,226
5,2018,289
5,2019,324
5,2020,193
5,2021,271
5,2022,361
6,2012,96
6,2013,173
6,2014,242
6,2015,375
6,2016,449
6,2017,676
6,2018,746
6,2019,801
6,2020,619
6,2021,971
6,2022,1090
7,2012,297
7,2013,494
7,2014,594
7,2015,655
7,2016,952
7,2017,929
7,2018,962
7,2019,996
7,2020,548
7,2021,879
7,2022,1009
8,2012,26
8,2013,43
8,2014,63
8,2015,87
8,2016,103
8,2017,181
8,2018,213
8,2019,244
8,2020,151
8,2021,168
8,2022,286
9,2012,26
9,2013,43
9,2014,63
9,2015,87
9,2016,103
9,2017,181
9,2018,213
9,2019,244
9,2020,151
9,2021,168
9,2022,286
10,2012,38
10,2013,83
10,2014,136
10,2015,193
10,2016,182
10,2017,268
10,2018,326
10,2019,333
10,2020,166
10,2021,350
10,2022,530
11,2012,223
11,2013,315
11,2014,397
11,2015,439
11,2016,561
11,2017,587
11,2018,557
11,2019,686
11,2020,330
11,2021,730
11,2022,836
12,2012,50
12,2013,90
12,2014,141
12,2015,221
12,2016,194
12,2017,250
12,2018,392
12,2019,424
12,2020,271
12,2021,326
12,2022,436
BARMM,2012,5
BARMM,2013,13
BARMM,2014,14
BARMM,2015,13
BARMM,2016,17
BARMM,2017,43
BARMM,2018,44
BARMM,2019,31
BARMM,2020,25
BARMM,2021,46
BARMM,2022,80
CAR,2012,20
CAR,2013,37
CAR,2014,41
CAR,2015,69
CAR,2016,69
CAR,2017,98
CAR,2018,94
CAR,2019,109
CAR,2020,67
CAR,2021,121
CAR,2022,150
CARAGA,2012,31
CARAGA,2013,30
CARAGA,2014,52
CARAGA,2015,83
CARAGA,2016,95
CARAGA,2017,119
CARAGA,2018,158
CARAGA,2019,171
CARAGA,2020,66
CARAGA,2021,111
CARAGA,2022,241
NCR,2012,1647
NCR,2013,2178
NCR,2014,2410
NCR,2015,3055
NCR,2016,3708
NCR,2017,3884
NCR,2018,3527
NCR,2019,4049
NCR,2020,2450
NCR,2021,3691
NCR,2022,3868
No data,2012,3
No data,2013,1
No data,2014,4
No data,2015,2
No data,2016,0
No data,2017,0
No data,2018,0
No data,2019,0
No data,2020,0
No data,2021,0
No data,2022,0
